,base_market,quote_market,hedge_ratio,half_life
0,AVAX-USD,XTZ-USD,25.60849196451195,4.0
1,AVAX-USD,SOL-USD,0.3631402655968036,9.0
2,AVAX-USD,ADA-USD,55.684286318248425,11.0
3,AVAX-USD,TRX-USD,205.67628670221012,11.0
4,AVAX-USD,LTC-USD,0.30309748167697875,7.0
5,AVAX-USD,DOT-USD,4.019282973806894,5.0
6,AVAX-USD,EOS-USD,30.840867161330806,8.0
7,AVAX-USD,LINK-USD,1.455713119698581,16.0
8,AVAX-USD,ZEC-USD,0.726281618823446,8.0
9,AVAX-USD,MATIC-USD,27.021519409589903,12.0
10,AVAX-USD,XLM-USD,178.8382570096146,7.0
11,AVAX-USD,FIL-USD,4.642983813716095,12.0
12,AVAX-USD,MKR-USD,0.014479964126454683,21.0
13,AVAX-USD,UMA-USD,11.477809174085895,14.0
14,AVAX-USD,XMR-USD,0.12730243711462633,11.0
15,AVAX-USD,ENJ-USD,75.41808235729728,20.0
16,AVAX-USD,ETH-USD,0.010374701307564597,15.0
17,AVAX-USD,CELO-USD,39.780605886938154,5.0
18,AVAX-USD,ICP-USD,4.683233413484769,13.0
19,AVAX-USD,DOGE-USD,265.46798146811665,11.0
20,AVAX-USD,ALGO-USD,156.09223697521043,14.0
21,1INCH-USD,ADA-USD,0.9213245262390856,11.0
22,1INCH-USD,CRV-USD,0.6145572552834762,9.0
23,1INCH-USD,TRX-USD,3.4029705237616246,12.0
24,1INCH-USD,ZRX-USD,0.8692121885433542,8.0
25,1INCH-USD,XMR-USD,0.0021059374797073975,17.0
26,1INCH-USD,ICP-USD,0.07746950172598856,21.0
27,XTZ-USD,DOT-USD,0.15693676534464723,10.0
28,XTZ-USD,XLM-USD,6.983781654793112,12.0
29,XTZ-USD,BCH-USD,0.0036759107154453437,16.0
30,XTZ-USD,CELO-USD,1.5533508168106602,8.0
31,SOL-USD,DOT-USD,11.06361893941247,10.0
32,ADA-USD,CRV-USD,0.6668426932369996,10.0
33,ADA-USD,LINK-USD,0.026137209985608475,20.0
34,ADA-USD,XMR-USD,0.0022857739360058167,11.0
35,ADA-USD,ICP-USD,0.08409220954251287,11.0
36,LTC-USD,ZEC-USD,2.39612255805489,9.0
37,LTC-USD,XLM-USD,590.0203850255832,7.0
38,LTC-USD,CELO-USD,131.22268305651602,9.0
39,DOT-USD,LINK-USD,0.36223100318088314,14.0
40,DOT-USD,ZEC-USD,0.18069337572082828,10.0
41,DOT-USD,XLM-USD,44.49303376010303,10.0
42,DOT-USD,ICP-USD,1.1653478494909049,14.0
43,DOT-USD,BTC-USD,0.0001405085013684529,10.0
44,DOT-USD,ALGO-USD,38.835906518187976,21.0
45,EOS-USD,FIL-USD,0.15055002733687065,9.0
46,LINK-USD,ZEC-USD,0.4985092135391411,18.0
47,LINK-USD,BTC-USD,0.0003876664561249193,20.0
48,LINK-USD,ALGO-USD,107.16565223352535,13.0
49,ZEC-USD,BTC-USD,0.0007774746818756122,12.0
50,ETC-USD,NEAR-USD,10.207397866758736,21.0
51,FIL-USD,BCH-USD,0.020267016481682398,12.0
52,BCH-USD,COMP-USD,4.389322590483256,7.0
53,MKR-USD,SUSHI-USD,1257.7712897573363,23.0
54,ZRX-USD,ETH-USD,0.0001972731701472951,14.0
55,ZRX-USD,ICP-USD,0.0890344176441235,17.0
56,ZRX-USD,BTC-USD,1.0734565762032435e-05,15.0
57,ZRX-USD,AAVE-USD,0.004225595807538165,23.0
58,UMA-USD,SUSHI-USD,1.5874731768003139,12.0
59,XMR-USD,ICP-USD,36.783270833002526,12.0
60,YFI-USD,ETH-USD,4.326742494952138,20.0
61,YFI-USD,NEAR-USD,4750.414755415636,22.0
62,YFI-USD,CELO-USD,16628.641907188103,17.0
63,YFI-USD,ICP-USD,1952.5657611376105,21.0
64,YFI-USD,BTC-USD,0.23562903152040796,18.0
65,YFI-USD,DOGE-USD,111053.16037396094,17.0
66,YFI-USD,ALGO-USD,65160.21368106656,20.0
67,YFI-USD,ATOM-USD,964.4400870371505,19.0
68,YFI-USD,AAVE-USD,92.54703112683431,22.0
69,ICP-USD,AAVE-USD,0.04746874555690046,16.0
70,AAVE-USD,SUSHI-USD,82.00521351420325,15.0
